pmid	pmcid	doi	title	authors	year	month	day	journal	volume	issue	pages	abstract
21305667	PMC4791073	10.1002/hbm.21186	Minimizing within-experiment and within-group effects in Activation Likelihood Estimation meta-analyses	['Turkeltaub PE', 'Eickhoff SB', 'Laird AR', 'Fox M', 'Wiener M', 'Fox P']	2012	1	29	Hum Brain Mapp	33	1	1-13	Activation Likelihood Estimation (ALE) is an objective, quantitative technique for coordinate-based meta-analysis (CBMA) of neuroimaging results that has been validated for a variety of uses. Stepwise modifications have improved ALE's theoretical and statistical rigor since its introduction. Here, we evaluate two avenues to further optimize ALE. First, we demonstrate that the maximum contribution of an experiment makes to an ALE map is related to the number of foci it reports and their proximity. We present a modified ALE algorithm that eliminates these within-experiment effects. However, we show that these effects only account for 2-3% of cumulative ALE values, and removing them has little impact on thresholded ALE maps. Next, we present an alternate organizational approach to datasets that prevents subject groups with multiple experiments in a dataset from influencing ALE values more than others. This modification decreases cumulative ALE values by 7-9%, changes the relative magnitude of some clusters, and reduces cluster extents. Overall, differences between results of the standard approach and these new methods were small. This finding validates previous ALE reports against concerns that they were driven by within-experiment or within-group effects. We suggest that the modified ALE algorithm is theoretically advantageous compared with the current algorithm, and that the alternate organization of datasets is the most conservative approach for typical ALE analyses and other CBMA methods. Combining the two modifications minimizes both within-experiment and within-group effects, optimizing the degree to which ALE values represent concordance of findings across independent reports.
21643732	PMC3682219	10.1007/s12021-011-9126-x	The cognitive paradigm ontology: design and application	['Turner JA', 'Laird AR']	2012	1	29	Neuroinformatics	10	1	57-66	We present the basic structure of the Cognitive Paradigm Ontology (CogPO) for human behavioral experiments. While the experimental psychology and cognitive neuroscience literature may refer to certain behavioral tasks by name (e.g., the Stroop paradigm or the Sternberg paradigm) or by function (a working memory task, a visual attention task), these paradigms can vary tremendously in the stimuli that are presented to the subject, the response expected from the subject, and the instructions given to the subject. Drawing from the taxonomy developed and used by the BrainMap project ( www.brainmap.org ) for almost two decades to describe key components of published functional imaging results, we have developed an ontology capable of representing certain characteristics of the cognitive paradigms used in the fMRI and PET literature. The Cognitive Paradigm Ontology is being developed to be compliant with the Basic Formal Ontology (BFO), and to harmonize where possible with larger ontologies such as RadLex, NeuroLex, or the Ontology of Biomedical Investigations (OBI). The key components of CogPO include the representation of experimental conditions focused on the stimuli presented, the instructions given, and the responses requested. The use of alternate and even competitive terminologies can often impede scientific discoveries. Categorization of paradigms according to stimulus, response, and instruction has been shown to allow advanced data retrieval techniques by searching for similarities and contrasts across multiple paradigm levels. The goal of CogPO is to develop, evaluate, and distribute a domain ontology of cognitive paradigms for application and use in the functional neuroimaging community.
21667303	PMC4791066	10.1007/s00429-011-0333-x	Neuroanatomic changes and their association with cognitive decline in mild cognitive impairment: a meta-analysis	['Nickl-Jockschat T', 'Kleiman A', 'Schulz JB', 'Schneider F', 'Laird AR', 'Fox PT', 'Eickhoff SB', 'Reetz K']	2012	1	29	Brain Struct Funct	217	1	115-25	Mild cognitive impairment (MCI) is an acquired syndrome characterised by cognitive decline not affecting activities of daily living. Using a quantitative meta-analytic approach, we aimed to identify consistent neuroanatomic correlates of MCI and how they are related to cognitive dysfunction. The meta-analysis enrols 22 studies, involving 917 MCI (848 amnestic MCI) patients and 809 healthy controls. Only studies investigating local changes in grey matter and reporting whole-brain results in stereotactic coordinates were included and analysed using the activation likelihood estimation approach. Probabilistic cytoarchitectonic maps were used to compare the localization of the obtained significant effects to histological areas. A correlation between the probability of grey matter changes and cognitive performance of MCI patients was performed. In MCI patients, the meta-analysis revealed three significant clusters of convergent grey matter atrophy, which were mainly situated in the bilateral amygdala and hippocampus, extending to the left medial temporal pole and thalamus, as well as in the bilateral precuneus. A sub-analysis in only amnestic MCI revealed a similar pattern. A voxel-wise analysis revealed a correlation between grey matter reduction and cognitive decline in the right hippocampus and amygdala as well as in the left thalamus. This study provides convergent evidence of a distinct neuroanatomical pattern in MCI. The correlation analysis with cognitive-mnestic decline further highlights the impact of limbic structures and the linkage with data from a functional neuroimaging database provides additional insight into underlying functions. Although different pathologies are underlying MCI, the observed neuroanatomical pattern of structural changes may reflect the common clinical denominator of cognitive impairment.
21692142	PMC4801488	10.1002/hbm.21299	Brain structure anomalies in autism spectrum disorder--a meta-analysis of VBM studies using anatomic likelihood estimation	['Nickl-Jockschat T', 'Habel U', 'Michel TM', 'Manning J', 'Laird AR', 'Fox PT', 'Schneider F', 'Eickhoff SB']	2012	6	29	Hum Brain Mapp	33	6	1470-89	Autism spectrum disorders (ASD) are pervasive developmental disorders with characteristic core symptoms such as impairments in social interaction, deviance in communication, repetitive and stereotyped behavior, and impaired motor skills. Anomalies of brain structure have repeatedly been hypothesized to play a major role in the etiopathogenesis of the disorder. Our objective was to perform unbiased meta-analysis on brain structure changes as reported in the current ASD literature. We thus conducted a comprehensive search for morphometric studies by Pubmed query and literature review. We used a revised version of the activation likelihood estimation (ALE) approach for coordinate-based meta-analysis of neuroimaging results. Probabilistic cytoarchitectonic maps were applied to compare the localization of the obtained significant effects to histological areas. Each of the significant ALE clusters was analyzed separately for age effects on gray and white matter density changes. We found six significant clusters of convergence indicating disturbances in the brain structure of ASD patients, including the lateral occipital lobe, the pericentral region, the medial temporal lobe, the basal ganglia, and proximate to the right parietal operculum. Our study provides the first quantitative summary of brain structure changes reported in literature on autism spectrum disorders. In contrast to the rather small sample sizes of the original studies, our meta-analysis encompasses data of 277 ASD patients and 303 healthy controls. This unbiased summary provided evidence for consistent structural abnormalities in spite of heterogeneous diagnostic criteria and voxel-based morphometry (VBM) methodology, but also hinted at a dependency of VBM findings on the age of the patients.
21949904	PMC3178148	10.1155/2012/907409	Multimodal MRI neuroimaging biomarkers for cognitive normal adults, amnestic mild cognitive impairment, and Alzheimer's disease	['Lin AL', 'Laird AR', 'Fox PT', 'Gao JH']	2012	2	29	Neurol Res Int	2012		907409	Multimodal magnetic resonance imaging (MRI) techniques have been developed to noninvasively measure structural, metabolic, hemodynamic and functional changes of the brain. These advantages have made MRI an important tool to investigate neurodegenerative disorders, including diagnosis, disease progression monitoring, and treatment efficacy evaluation. This paper discusses recent findings of the multimodal MRI in the context of surrogate biomarkers for identifying the risk for AD in normal cognitive (NC) adults, brain anatomical and functional alterations in amnestic mild cognitive impairment (aMCI), and Alzheimer's disease (AD) patients. Further developments of these techniques and the establishment of promising neuroimaging biomarkers will enhance our ability to diagnose aMCI and AD in their early stages and improve the assessment of therapeutic efficacy in these diseases in future clinical trials.
21963913	PMC3254820	10.1016/j.neuroimage.2011.09.017	Activation likelihood estimation meta-analysis revisited	['Eickhoff SB', 'Bzdok D', 'Laird AR', 'Kurth F', 'Fox PT']	2012	2	1	Neuroimage	59	3	2349-61	A widely used technique for coordinate-based meta-analysis of neuroimaging data is activation likelihood estimation (ALE), which determines the convergence of foci reported from different experiments. ALE analysis involves modelling these foci as probability distributions whose width is based on empirical estimates of the spatial uncertainty due to the between-subject and between-template variability of neuroimaging data. ALE results are assessed against a null-distribution of random spatial association between experiments, resulting in random-effects inference. In the present revision of this algorithm, we address two remaining drawbacks of the previous algorithm. First, the assessment of spatial association between experiments was based on a highly time-consuming permutation test, which nevertheless entailed the danger of underestimating the right tail of the null-distribution. In this report, we outline how this previous approach may be replaced by a faster and more precise analytical method. Second, the previously applied correction procedure, i.e. controlling the false discovery rate (FDR), is supplemented by new approaches for correcting the family-wise error rate and the cluster-level significance. The different alternatives for drawing inference on meta-analytic results are evaluated on an exemplary dataset on face perception as well as discussed with respect to their methodological limitations and advantages. In summary, we thus replaced the previous permutation algorithm with a faster and more rigorous analytical solution for the null-distribution and comprehensively address the issue of multiple-comparison corrections. The proposed revision of the ALE-algorithm should provide an improved tool for conducting coordinate-based meta-analyses on functional imaging data.
22178808	PMC3288533	10.1016/j.neuroimage.2011.11.050	Modelling neural correlates of working memory: a coordinate-based meta-analysis	['Rottschy C', 'Langner R', 'Dogan I', 'Reetz K', 'Laird AR', 'Schulz JB', 'Fox PT', 'Eickhoff SB']	2012	3	29	Neuroimage	60	1	830-46	"Working memory subsumes the capability to memorize, retrieve and utilize information for a limited period of time which is essential to many human behaviours. Moreover, impairments of working memory functions may be found in nearly all neurological and psychiatric diseases. To examine what brain regions are commonly and differently active during various working memory tasks, we performed a coordinate-based meta-analysis over 189 fMRI experiments on healthy subjects. The main effect yielded a widespread bilateral fronto-parietal network. Further meta-analyses revealed that several regions were sensitive to specific task components, e.g. Broca's region was selectively active during verbal tasks or ventral and dorsal premotor cortex were preferentially involved in memory for object identity and location, respectively. Moreover, the lateral prefrontal cortex showed a division in a rostral and a caudal part based on differential involvement in task set and load effects. Nevertheless, a consistent but more restricted ""core"" network emerged from conjunctions across analyses of specific task designs and contrasts. This ""core"" network appears to comprise the quintessence of regions, which are necessary during working memory tasks. It may be argued that the core regions form a distributed executive network with potentially generalized functions for focussing on competing representations in the brain. The present study demonstrates that meta-analyses are a powerful tool to integrate the data of functional imaging studies on a (broader) psychological construct, probing the consistency across various paradigms as well as the differential effects of different experimental implementations."
22197743	PMC3288226	10.1016/j.neuroimage.2011.12.010	The functional connectivity of the human caudate: an application of meta-analytic connectivity modeling with behavioral filtering	['Robinson JL', 'Laird AR', 'Glahn DC', 'Blangero J', 'Sanghera MK', 'Pessoa L', 'Fox PM', 'Uecker A', 'Friehs G', 'Young KA', 'Griffin JL', 'Lovallo WR', 'Fox PT']	2012	3	29	Neuroimage	60	1	117-29	Meta-analysis based techniques are emerging as powerful, robust tools for developing models of connectivity in functional neuroimaging. Here, we apply meta-analytic connectivity modeling to the human caudate to 1) develop a model of functional connectivity, 2) determine if meta-analytic methods are sufficiently sensitive to detect behavioral domain specificity within region-specific functional connectivity networks, and 3) compare meta-analytic driven segmentation to structural connectivity parcellation using diffusion tensor imaging. Results demonstrate strong coherence between meta-analytic and data-driven methods. Specifically, we found that behavioral filtering resulted in cognition and emotion related structures and networks primarily localized to the head of the caudate nucleus, while perceptual and action specific regions localized to the body of the caudate, consistent with early models of nonhuman primate histological studies and postmortem studies in humans. Diffusion tensor imaging (DTI) revealed support for meta-analytic connectivity modeling's (MACM) utility in identifying both direct and indirect connectivity. Our results provide further validation of meta-analytic connectivity modeling, while also highlighting an additional potential, namely the extraction of behavioral domain specific functional connectivity.
22270812	PMC3445793	10.1007/s00429-012-0380-y	Parsing the neural correlates of moral cognition: ALE meta-analysis on morality, theory of mind, and empathy	['Bzdok D', 'Schilbach L', 'Vogeley K', 'Schneider K', 'Laird AR', 'Langner R', 'Eickhoff SB']	2012	10	29	Brain Struct Funct	217	4	783-96	Morally judicious behavior forms the fabric of human sociality. Here, we sought to investigate neural activity associated with different facets of moral thought. Previous research suggests that the cognitive and emotional sources of moral decisions might be closely related to theory of mind, an abstract-cognitive skill, and empathy, a rapid-emotional skill. That is, moral decisions are thought to crucially refer to other persons' representation of intentions and behavioral outcomes as well as (vicariously experienced) emotional states. We thus hypothesized that moral decisions might be implemented in brain areas engaged in 'theory of mind' and empathy. This assumption was tested by conducting a large-scale activation likelihood estimation (ALE) meta-analysis of neuroimaging studies, which assessed 2,607 peak coordinates from 247 experiments in 1,790 participants. The brain areas that were consistently involved in moral decisions showed more convergence with the ALE analysis targeting theory of mind versus empathy. More specifically, the neurotopographical overlap between morality and empathy disfavors a role of affective sharing during moral decisions. Ultimately, our results provide evidence that the neural network underlying moral decisions is probably domain-global and might be dissociable into cognitive and affective sub-systems.
22282036	PMC3660731	10.3758/s13415-011-0083-5	Meta-analytic evidence for a superordinate cognitive control network subserving diverse executive functions	['Niendam TA', 'Laird AR', 'Ray KL', 'Dean YM', 'Glahn DC', 'Carter CS']	2012	6	29	Cogn Affect Behav Neurosci	12	2	241-68	Classic cognitive theory conceptualizes executive functions as involving multiple specific domains, including initiation, inhibition, working memory, flexibility, planning, and vigilance. Lesion and neuroimaging experiments over the past two decades have suggested that both common and unique processes contribute to executive functions during higher cognition. It has been suggested that a superordinate fronto-cingulo-parietal network supporting cognitive control may also underlie a range of distinct executive functions. To test this hypothesis in the largest sample to date, we used quantitative meta-analytic methods to analyze 193 functional neuroimaging studies of 2,832 healthy individuals, ages 18-60, in which performance on executive function measures was contrasted with an active control condition. A common pattern of activation was observed in the prefrontal, dorsal anterior cingulate, and parietal cortices across executive function domains, supporting the idea that executive functions are supported by a superordinate cognitive control network. However, domain-specific analyses showed some variation in the recruitment of anterior prefrontal cortex, anterior and midcingulate regions, and unique subcortical regions such as the basal ganglia and cerebellum. These results are consistent with the existence of a superordinate cognitive control network in the brain, involving dorsolateral prefrontal, anterior cingulate, and parietal cortices, that supports a broad range of executive functions.
